event,time,long,lat,speed,height,stage,tag
1583651088,3/27/2012 16:00,-121.59383,38.7585,0,50,arrival,105936
1583651089,3/27/2012 18:00,-121.58067,38.75967,0,30,arrival,105936
1583651090,3/27/2012 20:00,-121.58,38.7575,0,30,arrival,105936
1583651091,3/27/2012 22:00,-121.58017,38.7575,0,30,arrival,105936
1583651092,3/28/2012 0:00,-121.58467,38.75967,0,30,arrival,105936
1583651093,3/28/2012 2:00,-121.59183,38.75917,0,30,arrival,105936
1583646805,3/28/2012 16:00,-121.60833,38.68617,0,30,preHatching,105930
1583651094,3/28/2012 16:00,-121.59483,38.75867,0,30,arrival,105936
1583646806,3/28/2012 17:00,-121.606,38.68467,0,30,preHatching,105930
1583646807,3/28/2012 18:00,-121.60583,38.6855,0,30,preHatching,105930
1583651095,3/28/2012 18:00,-121.58533,38.75967,0,30,arrival,105936
1583646808,3/28/2012 19:00,-121.6085,38.686,0,30,preHatching,105930
1583646809,3/28/2012 20:00,-121.60567,38.685,0,30,preHatching,105930
1583651096,3/28/2012 20:00,-121.5935,38.75767,6.68772,30,arrival,105936
1583646810,3/28/2012 21:00,-121.607,38.685,12.861,30,preHatching,105930
1583646811,3/28/2012 22:00,-121.60633,38.68317,3.60108,160,preHatching,105930
1583651097,3/28/2012 22:00,-121.58167,38.757,0.51444,30,arrival,105936
1583646812,3/28/2012 23:00,-121.60617,38.685,0,30,preHatching,105930
1583646813,3/29/2012 0:00,-121.60633,38.685,0,30,preHatching,105930
1583651098,3/29/2012 0:00,-121.58833,38.75717,4.62996,30,arrival,105936
1583646814,3/29/2012 1:00,-121.606,38.68483,0,30,preHatching,105930
1583646815,3/29/2012 2:00,-121.60633,38.68517,0,30,preHatching,105930
1583651099,3/29/2012 2:00,-121.592,38.75917,0,30,arrival,105936
1583646816,3/29/2012 3:00,-121.60883,38.68617,0.51444,30,preHatching,105930
1583646817,3/29/2012 16:00,-121.6085052,38.68600762,0,30,preHatching,105930
1583651100,3/29/2012 16:00,-121.59383,38.75833,0,30,arrival,105936
1583646818,3/29/2012 17:00,-121.60717,38.68517,0,30,preHatching,105930
1583646819,3/29/2012 18:00,-121.60783,38.685,0,30,preHatching,105930
1583651101,3/29/2012 18:00,-121.594,38.75967,7.7166,30,arrival,105936
1583646820,3/29/2012 19:00,-121.60983,38.6845,0,40,preHatching,105930
1583646821,3/29/2012 20:00,-121.607,38.68517,0,30,preHatching,105930
1583651102,3/29/2012 20:00,-121.58333,38.758,0,30,arrival,105936
1583646822,3/29/2012 21:00,-121.60633,38.686,0,30,preHatching,105930
1583646823,3/29/2012 22:00,-121.60667,38.6855,8.23104,30,preHatching,105930
1583651103,3/29/2012 22:00,-121.5805,38.75917,0,30,arrival,105936
1583646824,3/29/2012 23:00,-121.60683,38.685,0,30,preHatching,105930
1583646825,3/30/2012 0:00,-121.6061731,38.68499246,0,30,preHatching,105930
1583651104,3/30/2012 0:00,-121.58383,38.75633,0,30,arrival,105936
1583646826,3/30/2012 1:00,-121.60567,38.68533,0,60,preHatching,105930
1583646827,3/30/2012 2:00,-121.6055,38.68483,0.51444,30,preHatching,105930
